"","logFC","logCPM","LR","PValue","FDR"
"RPL36A",-1.54670083508383,5.74696294345133,7.20068734481001,0.00728756636193656,0.900534513723109
"PTCH2",-0.854507153778418,7.00013604298972,7.13385245927827,0.0075642035344173,0.900534513723109
"TRBV12-3",4.94712549123677,0.641569052294055,7.10808898471238,0.00767368731299849,0.900534513723109
"WWOX",0.890522511053852,8.51863357524533,7.08390981018448,0.00777791224195824,0.900534513723109
"ATF2",-0.870691564046411,6.98486724303214,7.063820221976,0.00786560927423412,0.900534513723109
"CTSO",5.79589529210226,1.19995610472964,7.05004298453331,0.00792633492555005,0.900534513723109
"NFYC",-0.705254916669457,7.81940199619314,7.03464884139962,0.00799475481466039,0.900534513723109
"ZNF20",-1.00409667247597,7.27229698404386,7.02837950825324,0.00802279192962038,0.900534513723109
"FGF11",-4.94619513234068,0.453773115323416,7.00353417493968,0.00813489552122292,0.900534513723109
"CSF2",1.85715544877823,4.17780771769561,6.99974386876541,0.00815213793219784,0.900534513723109
"LYL1",1.46160640382264,5.66156738732266,6.92869864995228,0.00848233865039557,0.900534513723109
"PTTG1",-1.31728954462975,5.8080380446676,6.91618132224611,0.00854191917225075,0.900534513723109
"CDC42BPA",0.674207231412489,8.04131768857144,6.90047805163368,0.0086172704169434,0.900534513723109
"HMGN2",-1.52044698704893,6.15847048688973,6.89395690849313,0.0086487613372713,0.900534513723109
"LGALS7",5.05244409361496,0.649853995476098,6.89321233422924,0.00865236440689017,0.900534513723109
"CTIF",-2.84793127060481,2.62278962038388,6.87724136537787,0.00873002053802995,0.900534513723109
"BZW1",0.961717830857196,7.18904048104577,6.85429355954831,0.00884285128248182,0.900534513723109
"FCGRT",0.918721874249631,7.29507859834049,6.83934461182176,0.00891715486609176,0.900534513723109
"PIWIL1",-2.93805889006533,2.74030887365323,6.7888435872543,0.00917293106420279,0.900534513723109
"HP1BP3",0.787233769516825,7.42665622472355,6.75380411515359,0.00935480233194009,0.900534513723109
"LMAN2",0.741011212227892,7.83918767640374,6.68239794256705,0.00973695502067517,0.900534513723109
"RUSC2",1.05019484235558,6.47140151509251,6.68079589987618,0.00974570997115015,0.900534513723109
"CHIC2",1.62290219350799,5.17399621239418,6.67408680505761,0.00978246199556905,0.900534513723109
"SIT1",1.66904566298433,5.28026896422974,6.64825539861633,0.00992529613639969,0.900534513723109
"HOXA1",-1.44495408793867,4.90773909791116,6.64761479540946,0.00992886537044623,0.900534513723109
"MAPK11",1.22700064663012,6.45289181735639,6.62042693484665,0.0100815663897102,0.900534513723109
"SMPD2",-1.93205232014658,5.45509138221424,6.6088874178949,0.0101471039537647,0.900534513723109
"MRPL49",1.39730465027264,5.77706895588925,6.60713559517801,0.0101570913752123,0.900534513723109
"RNPS1",-0.732367851253683,7.86364458915705,6.58826592081143,0.0102653114571253,0.900534513723109
"CNPY2",1.1686391242194,8.00308601535239,6.55474320094959,0.0104604934764089,0.900534513723109
"DEAF1",-0.924619659822748,7.13595347416435,6.55110913802715,0.010481879749851,0.900534513723109
"ULK3",0.837690344936733,7.36884306613801,6.52383169164633,0.0106438442656616,0.900534513723109
"SSR2",0.889287426968584,6.94717314582893,6.51077327024452,0.0107222871612793,0.900534513723109
"WNT3",-3.89450730978257,0.858615075511465,6.50511549231073,0.0107564577199947,0.900534513723109
"NR1H3",-0.809693764730955,7.44825720782614,6.49010187358345,0.010847676084235,0.900534513723109
"TNK1",-4.69144172240195,0.340275471033348,6.46107718020399,0.0110262783284978,0.900534513723109
"TAF9",4.81420309309385,1.69228758152102,6.457783260167,0.0110467370565609,0.900534513723109
"RPL19",-1.06337841910329,6.44219686638668,6.38489165517358,0.0115095786616078,0.928788120480657
"PAGE4",1.98557260531978,5.22364417736658,6.34018916764165,0.0118032292907374,0.942959988037014
"PLS1",-0.997770249049658,6.88810661431123,6.29448595923749,0.01211141354228,0.958000819695792
"CTSF",-0.953340776379019,7.79763671634549,6.26170008136143,0.0123375753223974,0.961993687087852
"VPS28",4.57552305468962,3.46152450952171,6.25237039609814,0.012402722464645,0.961993687087852
"ANGPTL4",1.26241227884638,5.91679281974794,6.19047702458082,0.012843956055127,0.97188685116032
"PCK2",5.30278005386968,0.745083292179456,6.18911746329987,0.0128538273303359,0.97188685116032
"DPM2",-1.54374474971168,4.82883034191267,6.17960521789615,0.0129231107404074,0.97188685116032
"BRD2",4.5777584888701,0.444498490385017,6.16298145006004,0.0130451146840966,0.97188685116032
"RBM23",-0.834165430392401,7.80914950928129,6.15035965598435,0.0131385379803874,0.97188685116032
"AP4S1",0.883844102068258,7.29950007312478,6.12181295792316,0.0133523790842975,0.978643637655527
"ZMYND10",-1.33252897313959,6.42607521007284,6.07480636330487,0.0137123331494337,0.980641732723085
"GPATCH4",5.21136788204689,0.692718408271592,6.06773357632231,0.0137673507527699,0.980641732723085
"PALM",1.06391973055481,6.86183289360336,6.05662006356456,0.0138542593892929,0.980641732723085
"XRCC3",-1.50445351514878,5.15330657651965,6.05453384677597,0.0138706366000386,0.980641732723085
"MMD",1.05812597978402,6.24842003443175,6.0063664071246,0.0142543509125095,0.985636917829308
"PPT2",5.00544521982612,0.705882730980029,5.99205380420112,0.0143704612916223,0.985636917829308
"RPL24",1.34363252663627,6.0937293118045,5.98843270632238,0.0143999912876804,0.985636917829308
"SYT5",-1.15389943232265,6.67597017645616,5.97646642163107,0.0144980211461315,0.985636917829308
"PRPF4B",0.825667240674688,7.48624398790947,5.96343154064114,0.0146055871333187,0.985636917829308
"IGLV3-19",-2.86224343876268,3.71193505406328,5.9414171459215,0.0147891227961127,0.985636917829308
"SELP",-0.918357690903977,6.71047458945107,5.92668599591954,0.0149132621639317,0.985636917829308
"BPY2",-4.44460903614729,0.227631427441436,5.90455405711085,0.0151017884790955,0.985636917829308
"PRKCA",0.707077129985067,7.5345228694865,5.88121286768807,0.0153032765095241,0.985636917829308
"ME3",-0.882551620115181,7.11429086004993,5.8598646585414,0.0154899850495663,0.985636917829308
"MAP4K1",-2.8317080203207,2.79236152206673,5.83876149844327,0.015676857727718,0.985636917829308
"BBOX1",-1.13002835250346,6.0681777253282,5.82254752350883,0.0158220127514277,0.985636917829308
"GSTM3",0.998966437559306,6.49110014337048,5.81906355663163,0.0158533832017751,0.985636917829308
"ALDH1A3",0.769584200602533,7.76899584273768,5.81588349127382,0.0158820732081303,0.985636917829308
"SEMA6C",-0.824548136456047,6.93352010848766,5.78278601935607,0.0161838691281983,0.985636917829308
"SNCB",1.15613679878262,5.86120222443739,5.78247878282659,0.0161866981575487,0.985636917829308
"EMD",2.12019850085898,5.73026975037721,5.77414796594347,0.0162636028346403,0.985636917829308
"ALDH3A2",-0.619977710501093,8.43164742186579,5.75947307637104,0.0163999893623965,0.985636917829308
"FTH1",3.47841474439665,5.07750557026718,5.75764238714493,0.0164170860874453,0.985636917829308
"ILF3",-0.657915880022686,8.38643254991993,5.72465377728946,0.0167283346299324,0.985636917829308
"DCXR",2.08742963346383,6.82871149389896,5.71394958699586,0.0168306315482889,0.985636917829308
"CRTC1",0.726911486844111,7.25247855538236,5.70609998085932,0.0169060579187184,0.985636917829308
"PRNP",1.44391373595266,5.34093437480152,5.67790609889035,0.0171798587853077,0.985636917829308
"ARFRP1",-0.949878265307904,7.00053057034099,5.670359097152,0.0172539237652603,0.985636917829308
"NDUFB10",-2.0711458617941,5.61924204077943,5.66715092108588,0.0172855079720006,0.985636917829308
"MXI1",-0.986621756233442,7.3053795453733,5.66327583722834,0.0173237373893027,0.985636917829308
"THRB",-0.754426338783034,7.3510337236281,5.64454628459065,0.0175097464473902,0.985636917829308
"FAM90A1",1.07466069430273,6.17826230642195,5.63485011886005,0.0176068506163325,0.985636917829308
"KCNK7",1.47289234600783,5.86775587565731,5.63241042926444,0.0176313707728252,0.985636917829308
"CEPT1",0.841024201869903,6.87172182891282,5.63037848375049,0.0176518197884961,0.985636917829308
"DAG1",-0.702343086244925,7.39086575105553,5.61908786910426,0.0177658926232846,0.985636917829308
"PLIN3",-1.27900793863693,5.85888013272118,5.56547859954787,0.0183180023515316,1
"TNFRSF17",1.70410222911815,5.1686086323713,5.53404312828769,0.0186499611344293,1
"AFTPH",0.845341463491084,6.68961411033752,5.53025963036741,0.0186903317362493,1
"GOSR1",-0.721150541245027,7.36864138874003,5.50993003744454,0.0189088032647008,1
"UQCRC2",4.32696562729954,0.264198159287824,5.50579012911028,0.0189536151106159,1
"RASGRP3",-0.703596833179813,7.87398131049147,5.50533558158826,0.0189585419762145,1
"LILRB1",-4.19804820877859,0.150772768127719,5.42589714397452,0.019840239324854,1
"FMO1",-1.08369439110285,6.60098185029766,5.42148002490368,0.0198904924318009,1
"SRY",4.77582841088406,0.426357293360093,5.41836133342179,0.0199260527188197,1
"RRAGB",-1.23272843460579,5.45830334651937,5.40733320480937,0.0200523270163635,1
"PUF60",4.55706195699889,3.8084238298518,5.39244659342791,0.0202240956055129,1
"CRLS1",-0.665687116551738,7.6465593476259,5.39099544604869,0.0202409208177774,1
"NFKBIA",1.30374608847855,6.90279757392534,5.38047958468481,0.0203632795650325,1
"EMC4",-1.02278006682345,6.61311369708422,5.38024693868519,0.0203659951839069,1
"CD19",-1.02081258438841,6.33958510802237,5.35443690734983,0.0206696078789664,1
"ELANE",-3.20488149160715,1.26873399278736,5.3530149770795,0.0206864700501501,1
"DDX23",0.781081788026668,8.10550117511562,5.34948489260242,0.0207283936407082,1
"KIFC3",-0.582952691406291,8.17526217169783,5.33939726140088,0.0208486804935174,1
"SERPINF2",2.56439517090486,4.45454449268938,5.33884491695223,0.0208552875765152,1
"CHRD",0.762298743612636,7.48688765572484,5.31569605361491,0.0211341492733803,1
"NEK6",0.933849529866363,7.14079363455678,5.30869454472887,0.0212192506273477,1
"ARF4",-1.11487221912965,6.19985140097988,5.30139579290567,0.0213083425960008,1
"ARFGEF2",-0.677367343192657,7.94824572609155,5.28647540491419,0.0214916748348055,1
"KDELR1",1.18377527976475,5.82093928420199,5.28053592547053,0.0215651091281628,1
"COL8A2",-1.20621921944866,5.70145314811342,5.27838418925133,0.0215917767438474,1
"IFIT2",-0.710231593276095,7.31122796706421,5.24970204996746,0.0219505292851114,1
"EIF3M",0.912061812744693,7.30415790931116,5.24873737542404,0.0219627020697062,1
"MSN",0.999536062877862,7.11360725491045,5.24084043533433,0.0220626132024345,1
"LGI2",-0.961346362772618,6.22852783406737,5.22890964628351,0.0222144539599659,1
"MTRF1",-1.12779384288375,6.76308411025032,5.22860472003559,0.0222183488521765,1
"ANO10",-0.715116781137545,7.23715561492374,5.22356560378635,0.0222828171790878,1
"TXNRD2",0.663449488270899,7.66533478239222,5.21966043514213,0.0223329115308003,1
"EXOC3",0.71987616539471,7.33573254708677,5.21545362657053,0.0223870057951922,1
"ENSA",-0.87392828425499,6.68389605129019,5.20128038060104,0.0225702572512427,1
"GNB3",-1.22075326396328,6.01010110527045,5.16583199263057,0.0230354214043517,1
"TOM1L1",0.682359729952768,7.4841325276533,5.15170504825682,0.023223558434475,1
"PHF3",-0.584226236432581,7.94406438389056,5.14379048841869,0.0233296569735214,1
"PSMC5",1.04958985641062,7.25844036809282,5.13426050269274,0.0234580783556618,1
"AP1M2",0.930294638839506,6.64675512573141,5.12777361047688,0.0235459116369895,1
"VCX3A",2.53024703855598,3.88174672982353,5.12205523809744,0.0236236219011362,1
"SFTPC",-0.958075832646688,6.62331587707478,5.11124351308769,0.0237712764154866,1
"CDK4",1.22612268002502,6.60098478549184,5.09405898052235,0.0240079366114332,1
"GTF3A",1.06617815462161,6.42317285686627,5.09302559411464,0.0240222457736001,1
"AIPL1",-0.963664334737567,7.01631481555558,5.09125207502294,0.0240468240791419,1
"BPIFA1",1.29707998162165,6.62611984942988,5.08305431537482,0.0241607721604647,1
"HTATIP2",-1.41263470861522,6.33007103301006,5.04998868311995,0.0246260991727647,1
"LAT",0.658611759357328,7.93728199813709,5.04749705731805,0.0246615381122342,1
"MINK1",0.74510295898873,7.72239252677361,5.02079556363578,0.0250446596897745,1
"DSG2",-0.726022225958298,7.30303714607249,5.01584062935111,0.0251164317001503,1
"STIP1",-0.848510931263121,6.68253486410104,5.01397693773067,0.0251434824318702,1
"DDX52",2.52766592493392,4.00397121283022,5.00246139405816,0.0253112982083984,1
"HLA-G",-3.98736669140548,0.0814796865717149,4.9929003442298,0.0254515147993379,1
"FANCA",0.652613715023797,8.56322257662934,4.98700937001812,0.0255383096955535,1
"PRSS1",-2.91280618115704,3.33386828636401,4.96371249345551,0.0258845784537168,1
"SRP72",-0.797386840622792,6.94029505247898,4.94958514145856,0.0260969300448295,1
"LIG4",-1.03846337107959,6.80221746887401,4.9266215577369,0.0264459721112543,1
"CCR9",0.997274016819366,5.97764781856108,4.92659007421518,0.0264464539709524,1
"DUSP13",1.09915314683563,6.43920627204738,4.92303806314465,0.026500876629994,1
"CRLF1",1.2484524637893,6.06481860487643,4.91716900689869,0.0265910554497721,1
"TRDV2",-2.29966296815107,3.08943252711116,4.90346786944683,0.0268028189272525,1
"CRYZL1",-0.668738938937393,7.68345026788719,4.90334422124926,0.0268047379840689,1
"MUC5AC",3.51285462036974,1.38737459696471,4.90181370529429,0.0268285038777129,1
"ASL",0.612089371785084,8.37818273708641,4.89336466768426,0.0269600956234735,1
"PPP1R7",0.947896065183539,7.16740196140461,4.88257740947955,0.0271290806448567,1
"TRIM26",4.22471276516195,0.3134847107827,4.86220723470304,0.0274511949641033,1
"ZNF691",-1.31762355215098,5.48358426940022,4.86195838678135,0.0274551545068952,1
"TGM5",-1.00605406643819,6.40838714677616,4.85806218396304,0.027517226445455,1
"ERLIN1",-0.913605402751399,6.28120667269226,4.85713491351191,0.0275320206479839,1
"BARD1",-0.750917488895883,7.11369517893202,4.85456836405769,0.0275730120014496,1
"APOC2",-1.34409670840274,5.75932221829017,4.84154843684239,0.0277819384280739,1
"NOL8",0.674952571423528,8.14082779903223,4.81564325676375,0.0282025436607457,1
"MECP2",0.692908781405097,7.218769618421,4.81503377673292,0.0282125187930461,1
"TMSB4X",-1.55950184346938,4.58084215355266,4.81409828693527,0.0282278367492513,1
"CES1",1.8987151328367,5.2007652432265,4.79619177122377,0.0285227173218767,1
"GPX4",-0.910971286164627,6.24272518723537,4.79017647590924,0.0286224938777566,1
"MT3",1.35054440588988,6.14368554246847,4.75905246901887,0.0291445880541015,1
"TDP2",1.28441636793105,5.47391677056017,4.75679341447536,0.0291828668507856,1
"SS18",0.698282140100467,7.70080219192522,4.75364236407211,0.0292363476427817,1
"NDUFV1",-0.853695249349712,7.40015473787208,4.75168850670274,0.0292695604926132,1
"ASS1",0.833342779832444,6.9827998295736,4.72446992490118,0.0297363475276845,1
"MVK",0.721194399917129,7.68965949721763,4.71966173778539,0.0298196086007161,1
"PAF1",1.29877034999682,6.07070786774579,4.71913574018228,0.0298287317773163,1
"TERF2IP",-1.01033901491066,5.89633966484414,4.71577277910048,0.0298871295066993,1
"HOXB7",1.22842506805929,5.4362821151229,4.71427813535036,0.0299131221820235,1
"RBMY1A1",-3.07275685398405,0.457108718247503,4.70993955985335,0.0299887059025027,1
"GPX7",-1.26774852514551,5.13476046698835,4.69666958049274,0.0302211242421257,1
"IGHA2",-3.47854437417739,0.557521025779383,4.68420728598242,0.0304411060108707,1
"REG3A",1.14403170665785,6.25348616919991,4.67336260427289,0.0306338922026262,1
"IGF1R",-0.670165582924335,7.96130627008226,4.66439002278433,0.0307943601336653,1
"LCN2",1.04242483515443,6.45641366313749,4.66020601265964,0.0308694874283714,1
"GADD45B",-1.50571567424879,5.64601961579232,4.64911911598981,0.0310694872935958,1
"FRZB",-1.20485176714615,5.22346833969463,4.64630490530124,0.031120468403418,1
"CYP2W1",1.09735148957488,6.62874384471177,4.64084302530365,0.0312196627619366,1
"HIF1A",-0.666683464996362,7.3094265135002,4.63936441272876,0.0312465728371874,1
"GTF2E1",1.26562373873703,6.07891224113753,4.61452153193922,0.0317023383267311,1
"GAPDH",1.09895001671476,6.04659864558717,4.60329285471647,0.0319106094694003,1
"SCARB2",0.522939565601839,8.58931686484066,4.60029403326503,0.0319664732635161,1
"KCTD5",-1.08770096276916,5.57906103876414,4.59349409149457,0.0320935249631504,1
"CYP2C9",0.972189525419617,6.46864220736222,4.5912557476971,0.0321354618977897,1
"RBM41",1.02191577524504,6.28863305846907,4.59052287452962,0.0321492052137977,1
"CLIC1",3.86851693036412,0.111120936298897,4.56773012247828,0.0325797065851254,1
"CRK",-2.26663684874004,3.24669864000966,4.55955982101832,0.0327354858983223,1
"BLM",-0.698804022814847,7.20713001703358,4.55552151391617,0.032812769413542,1
"RYK",-0.672449599978092,7.11595613922337,4.54657274543681,0.0329847070363302,1
"TAGLN3",1.13826623323384,6.02519061568586,4.54566589676881,0.033002183244465,1
"PIP",1.68896683242323,3.96402352028154,4.539244549032,0.0331262083497383,1
"LHFPL2",0.752997236880878,6.96272035468417,4.53910656100318,0.0331288788556206,1
"TDRD7",-0.925996776692129,6.36436990535782,4.53714174065717,0.0331669287639964,1
"IER2",2.57053214595098,3.44540226866643,4.535733928941,0.0331942199377044,1
"NFIL3",1.82804517415889,3.97460226672356,4.53451745672449,0.0332178207839266,1
"DPF2",0.65327184395892,7.71615899358988,4.52681961727966,0.0333675739532504,1
"SMPD1",1.15924285369573,6.55344735149138,4.52674491569694,0.0333690306420698,1
"CST7",-1.8018925522818,3.85868060855628,4.51615198810303,0.0335762679909414,1
"CCDC91",0.82688753535283,7.73561804108724,4.51160249470803,0.0336656854640286,1
"MAEA",0.746039080095249,7.79759681986359,4.50058792818392,0.0338832018731298,1
"SERF1A",-3.74067198095132,0.00860086782724292,4.49576892795165,0.0339788291538369,1
"TNFSF13B",-0.858023460114341,6.33906905466813,4.488940163605,0.0341148210786683,1
"GPR82",1.54201662553417,4.596706434787,4.4569215513403,0.0347600878343991,1
"LDHA",3.60136579422122,1.35846576936438,4.44512580075824,0.0350010113498045,1
"WDR45",0.942849854581604,7.63290865173278,4.44057523449905,0.0350944210709759,1
"MTFP1",-0.679672021823829,7.49278935110808,4.43390184643276,0.0352318778852601,1
"GTF2H3",0.800752027144699,6.97664094184179,4.42977362413815,0.0353171918258866,1
"SELENBP1",-0.934490480898187,7.29697769442304,4.4281839796078,0.0353501010600858,1
"ATP6V1B1",-0.973117446661548,6.74360277418089,4.4273736997858,0.0353668880247322,1
"PLK2",-0.768589711840002,7.1461828675934,4.42017860551253,0.0355163186359067,1
"TNKS",1.97527129850361,3.77117676589999,4.41859505402237,0.0355492950636662,1
"MRPS33",0.818805745463853,6.9079968965569,4.41533864935786,0.0356172082763918,1
"KDSR",-0.645145643329813,7.29696444777038,4.40473027893726,0.0358393917499556,1
"GALNS",0.831668120182119,7.76866881804219,4.39503865044977,0.0360436427065706,1
"CEBPA",3.09842271456854,2.51761474586077,4.39364811976896,0.0360730479052614,1
"TPD52L1",0.821300761313303,6.93635186088671,4.39050099468817,0.0361396921143072,1
"VDAC1",-1.14227016696221,5.87805999915174,4.38348974584016,0.0362886276312498,1
"HPN",1.31822822198832,6.68419797028957,4.3809736247524,0.0363422325278471,1
"DIRAS3",1.44437080419188,6.02991151049507,4.37686171565845,0.0364300135055151,1
"SMTN",0.593742396853338,8.55731435320719,4.37596980756227,0.0364490832240587,1
"ETF1",0.768130203821367,6.86578026861314,4.36336688001964,0.0367196640406424,1
"VEGFB",-1.28777788743625,5.53734607294075,4.36282698728482,0.0367313022364381,1
"GSTM5",0.827986447172789,7.13012865199094,4.33991300432412,0.0372288256225924,1
"ACP1",-1.14180371684243,6.66592896894511,4.33813781864926,0.037267663043358,1
"MAGEA4",-1.7859319347283,5.16210196013236,4.33789998737579,0.0372728695265595,1
"ETV7",-1.05989868792056,5.72380800075731,4.33582927192331,0.0373182328014412,1
"KCNMA1",0.463183928162807,9.60635894003254,4.33546633528086,0.0373261896286633,1
"VTA1",0.872341372041852,6.54902263375823,4.32361621643348,0.037586964006186,1
"ZCCHC4",-0.755571808114315,6.74131736337961,4.31214060004007,0.0378413167742346,1
"UPF1",0.556588813977999,8.13863193537262,4.31037865804744,0.0378805289980454,1
"OXA1L",1.04485192508086,6.41634658801552,4.31019545992949,0.0378846085365256,1
"ACOX2",0.71219183903069,7.31833724590865,4.30285492285327,0.0380484503474018,1
"VIT",0.748391012128412,7.07004006670514,4.29965338658016,0.0381201414967593,1
"SLN",-1.50754443379372,4.73756566999244,4.29924349108279,0.0381293303957197,1
"LBX1",1.53245981068752,4.26249193585731,4.28873204695032,0.0383657673019394,1
"AQP6",-1.02577915870266,6.48215335096844,4.26617446072153,0.038878364985577,1
"RPL34",-0.963535857085641,6.17772794256594,4.2593799750574,0.0390341660297947,1
"RPS14",0.962678407279032,6.44878289860481,4.25710555756437,0.0390864657558874,1
"SUN2",0.838343848575689,7.61285241546889,4.25489917570196,0.0391372712499168,1
"MFGE8",-0.717123359747886,7.90954759559209,4.24558599195935,0.0393524867615258,1
"NR2C1",0.629006405258563,7.51978702789194,4.24238280803945,0.0394267947705116,1
"TPM2",0.924760706857259,6.83763371056457,4.2394230017573,0.0394955877134354,1
"PPP1R12A",0.630865928463647,7.80344784863947,4.23834536046976,0.0395206659223889,1
"KIF26B",-2.18678351202217,3.03071970960036,4.2319285800182,0.0396703396287001,1
"CFHR4",-0.778101920222257,6.74269902770096,4.22599252615537,0.0398093298438197,1
"PSPN",1.08526288604501,5.51076670058806,4.21256676788245,0.0401255766435006,1
"FBXL12",1.26763878139672,7.3052326529411,4.19229591417314,0.0406080668252679,1
"FOS",-0.98518926161699,5.81419535976128,4.18955374430507,0.0406738025986756,1
"SH3TC1",0.536464320579175,8.18332970831923,4.18401301721172,0.0408069670638223,1
"SOX2",-1.24610200730315,4.62822872576977,4.17382344241288,0.0410530573109036,1
"OAZ2",-0.799590238184538,6.84753216154795,4.16111489568086,0.0413621697869804,1
"GPS2",3.83454191396498,0.106142576321758,4.15497012769046,0.0415125061074047,1
