HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Alias symbols	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:34365	RNA5S4	RNA, 5S ribosomal 4	Approved	RNA, ribosomal	RN5S4		1q42.13	100169755	ENSG00000200381		1380	5S ribosomal RNAs
HGNC:34366	RNA5S5	RNA, 5S ribosomal 5	Approved	RNA, ribosomal	RN5S5		1q42.13	100169756	ENSG00000199396		1380	5S ribosomal RNAs
HGNC:34367	RNA5S6	RNA, 5S ribosomal 6	Approved	RNA, ribosomal	RN5S6		1q42.13	100169757	ENSG00000200624		1380	5S ribosomal RNAs
HGNC:34368	RNA5S7	RNA, 5S ribosomal 7	Approved	RNA, ribosomal	RN5S7		1q42.13	100169758	ENSG00000202521		1380	5S ribosomal RNAs
HGNC:34369	RNA5S8	RNA, 5S ribosomal 8	Approved	RNA, ribosomal	RN5S8		1q42.13	100169759	ENSG00000200343		1380	5S ribosomal RNAs
HGNC:34370	RNA5S9	RNA, 5S ribosomal 9	Approved	RNA, ribosomal	RN5S9		1q42.13	100169760	ENSG00000201321		1380	5S ribosomal RNAs
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	RNA, long non-coding	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569	19q13.43	503538	ENSG00000268895	OTTHUMG00000183508	1987	Antisense RNAs
HGNC:27057	A2M-AS1	A2M antisense RNA 1	Approved	RNA, long non-coding			12p13.31	144571	ENSG00000245105	OTTHUMG00000168289	1987	Antisense RNAs
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved	RNA, long non-coding			12p13.31	100874108	ENSG00000256661	OTTHUMG00000168273	1987	Antisense RNAs
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved	RNA, long non-coding			12p13.31	106478979	ENSG00000256904	OTTHUMG00000168274	1987	Antisense RNAs
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved	RNA, long non-coding			3q25.1	101928142	ENSG00000242908	OTTHUMG00000159877	1987	Antisense RNAs
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved	RNA, long non-coding			17q24.2	104355297	ENSG00000231749	OTTHUMG00000140370	1987	Antisense RNAs
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved	RNA, long non-coding			3q27.1	100873982	ENSG00000223882	OTTHUMG00000156870	1987	Antisense RNAs
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	Approved	RNA, long non-coding		linc-TP53I13, lnc-TP53I13	17q11.2	104355133	ENSG00000264031	OTTHUMG00000179722	1987	Antisense RNAs
HGNC:55674	ABR-AS1	ABR antisense RNA 1	Approved	RNA, long non-coding			17p13.3	105371479	ENSG00000235361		1987	Antisense RNAs
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	Approved	RNA, long non-coding		RP11-275I14.4	1q42.12	107985353	ENSG00000234478	OTTHUMG00000041339	1987	Antisense RNAs
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	Approved	RNA, long non-coding			2q13	400997	ENSG00000204581	OTTHUMG00000153643	1987	Antisense RNAs
HGNC:40227	ACSL3-AS1	ACSL3 antisense RNA 1	Approved	RNA, long non-coding			2q36.1	105373904	ENSG00000234193	OTTHUMG00000153390	1987	Antisense RNAs
HGNC:40772	ACSL6-AS1	ACSL6 antisense RNA 1	Approved	RNA, long non-coding			5q31.1	101927693	ENSG00000223548	OTTHUMG00000059638	1987	Antisense RNAs
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	Approved	RNA, long non-coding		uc001kfo.1, ZXF1, UC001kfo	10q23.31	100132116	ENSG00000180139	OTTHUMG00000018703	1987	Antisense RNAs
HGNC:53965	ACTR3-AS1	ACTR3 antisense RNA 1	Approved	RNA, long non-coding		AC104653.1	2q14.1	101060091	ENSG00000228857		1987	Antisense RNAs
HGNC:44161	ACVR2B-AS1	ACVR2B antisense RNA 1	Approved	RNA, long non-coding			3p22.2	100128640	ENSG00000229589	OTTHUMG00000156031	1987	Antisense RNAs
HGNC:56152	ADAM7-AS1	ADAM7, ADAMDEC1 and ADAM28 antisense RNA 1	Approved	RNA, long non-coding			8p21.2	101929294	ENSG00000253535		1987	Antisense RNAs
HGNC:56153	ADAM7-AS2	ADAM7 antisense RNA 2	Approved	RNA, long non-coding			8p21.2	101929315	ENSG00000253643		1987	Antisense RNAs
HGNC:40797	ADAMTS19-AS1	ADAMTS19 antisense RNA 1	Approved	RNA, long non-coding		RP11-346A9.1	5q23.3	103689846	ENSG00000249421	OTTHUMG00000163040	1987	Antisense RNAs
HGNC:40625	ADAMTS9-AS1	ADAMTS9 antisense RNA 1	Approved	RNA, long non-coding			3p14.1	101929335	ENSG00000241158	OTTHUMG00000158723	1987	Antisense RNAs
HGNC:42435	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	Approved	RNA, long non-coding			3p14.1	100507098	ENSG00000241684	OTTHUMG00000158725	1987	Antisense RNAs
HGNC:32041	ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	Approved	RNA, long non-coding	C1orf138	FLJ45786	1q21.2	574406	ENSG00000203804	OTTHUMG00000034866	1987	Antisense RNAs
HGNC:40895	ADAMTSL4-AS2	ADAMTSL4 antisense RNA 2	Approved	RNA, long non-coding			1q21.2	100289061	ENSG00000237781	OTTHUMG00000034864	1987	Antisense RNAs
HGNC:23299	ADARB2-AS1	ADARB2 antisense RNA 1	Approved	RNA, long non-coding	C10orf109, NCRNA00168	bA466B20.1	10p15.3	642394	ENSG00000205696	OTTHUMG00000017542	1987	Antisense RNAs
HGNC:48682	ADD3-AS1	ADD3 antisense RNA 1	Approved	RNA, long non-coding			10q25.1	100505933	ENSG00000203876	OTTHUMG00000019028	1987	Antisense RNAs
HGNC:49543	ADGRA1-AS1	ADGRA1 antisense RNA 1	Approved	RNA, long non-coding	GPR123-AS1		10q26.3	100128127	ENSG00000256925	OTTHUMG00000019301	1987	Antisense RNAs
HGNC:53314	ADGRD1-AS1	ADGRD1 antisense RNA 1	Approved	RNA, long non-coding		LACAT8	12q24.33	105755954	ENSG00000256151	OTTHUMG00000168346	1987	Antisense RNAs
HGNC:40864	ADGRF5-AS1	ADGRF5 antisense RNA 1	Approved	RNA, long non-coding			6p12.3	101926962	ENSG00000225730	OTTHUMG00000014794	1987	Antisense RNAs
HGNC:55309	ADGRL1-AS1	ADGRL1 antisense RNA 1	Approved	RNA, long non-coding			19p13.12	100507373	ENSG00000267169		1987	Antisense RNAs
HGNC:50604	ADGRL3-AS1	ADGRL3 antisense RNA 1	Approved	RNA, long non-coding	LPHN3-AS1		4q13.1	101927186	ENSG00000248692	OTTHUMG00000160691	1987	Antisense RNAs
HGNC:40648	ADIPOQ-AS1	ADIPOQ antisense RNA 1	Approved	RNA, long non-coding			3q27.3	100874095	ENSG00000226482	OTTHUMG00000156514	1987	Antisense RNAs
HGNC:45127	ADIRF-AS1	ADIRF antisense RNA 1	Approved	RNA, long non-coding			10q23.2	100133190	ENSG00000272734	OTTHUMG00000185998	1987	Antisense RNAs
HGNC:51227	ADNP-AS1	ADNP antisense RNA 1	Approved	RNA, long non-coding			20q13.13	101927631	ENSG00000259456	OTTHUMG00000172534	1987	Antisense RNAs
HGNC:37122	ADORA2A-AS1	ADORA2A antisense RNA 1	Approved	RNA, long non-coding	C22orf45	FLJ34651, hLinfRNA1	22q11.23	646023	ENSG00000178803	OTTHUMG00000150735	1987	Antisense RNAs
HGNC:44144	ADPGK-AS1	ADPGK antisense RNA 1	Approved	RNA, long non-coding			15q24.1	100287559	ENSG00000260898	OTTHUMG00000173100	1987	Antisense RNAs
HGNC:28141	AFAP1-AS1	AFAP1 antisense RNA 1	Approved	RNA, long non-coding	AFAP1AS, AFAP1-AS	MGC10981	4p16.1	84740	ENSG00000272620	OTTHUMG00000186238	1987	Antisense RNAs
HGNC:53447	AFF1-AS1	AFF1 antisense RNA 1	Approved	RNA, long non-coding			4q21.3	100506746			1987	Antisense RNAs
HGNC:48633	AGAP2-AS1	AGAP2 antisense RNA 1	Approved	RNA, long non-coding		LOC100130776, PUNISHER	12q14.1	100130776	ENSG00000255737	OTTHUMG00000170286	1987	Antisense RNAs
HGNC:48617	AGBL1-AS1	AGBL1 antisense RNA 1	Approved	RNA, long non-coding			15q25.3	727915	ENSG00000260125	OTTHUMG00000172872	1987	Antisense RNAs
HGNC:41123	AGBL4-AS1	AGBL4 antisense RNA 1	Approved	RNA, long non-coding			1p33	101929721	ENSG00000230114	OTTHUMG00000008156	1987	Antisense RNAs
HGNC:41133	AGBL5-AS1	AGBL5 antisense RNA 1	Approved	RNA, long non-coding			2p23.3	100874031	ENSG00000231636	OTTHUMG00000151996	1987	Antisense RNAs
HGNC:55975	AKAP13-AS1	AKAP13 antisense RNA 1	Approved	RNA, long non-coding			15q25.3	123466214	ENSG00000259367		1987	Antisense RNAs
HGNC:27515	ALDH1A2-AS1	ALDH1A2 antisense RNA 1	Approved	RNA, long non-coding			15q21.3	283665	ENSG00000259285		1987	Antisense RNAs
HGNC:55416	ALDH1A3-AS1	ALDH1A3 antisense RNA 1	Approved	RNA, long non-coding			15q26.3	101927751	ENSG00000259583		1987	Antisense RNAs
HGNC:40244	ALDH1L1-AS1	ALDH1L1 antisense RNA 1	Approved	RNA, long non-coding			3q21.3	100874204	ENSG00000250218	OTTHUMG00000162640	1987	Antisense RNAs
HGNC:42446	ALDH1L1-AS2	ALDH1L1 antisense RNA 2	Approved	RNA, long non-coding			3q21.3	100862662	ENSG00000246022	OTTHUMG00000162642	1987	Antisense RNAs
HGNC:41277	ALG13-AS1	ALG13 antisense RNA 1	Approved	RNA, long non-coding			Xq23	106478971	ENSG00000229487	OTTHUMG00000067670	1987	Antisense RNAs
HGNC:41192	ALG14-AS1	ALG14 antisense RNA 1	Approved	RNA, long non-coding			1p21.3	101928098	ENSG00000230427	OTTHUMG00000010779	1987	Antisense RNAs
HGNC:48670	ALKBH3-AS1	ALKBH3 antisense RNA 1	Approved	RNA, long non-coding			11p11.2	100507300	ENSG00000244926	OTTHUMG00000166553	1987	Antisense RNAs
HGNC:51342	ALOX12-AS1	ALOX12 antisense RNA 1	Approved	RNA, long non-coding			17p13.1	100506713	ENSG00000215067	OTTHUMG00000132903	1987	Antisense RNAs
HGNC:40076	ANK2-AS1	ANK2 antisense RNA 1	Approved	RNA, long non-coding			4q25	105377373	ENSG00000248152	OTTHUMG00000161562	1987	Antisense RNAs
HGNC:41298	ANKRD33B-AS1	ANKRD33B antisense RNA 1	Approved	RNA, long non-coding			5p15.2	100874247	ENSG00000250106	OTTHUMG00000162124	1987	Antisense RNAs
HGNC:48618	ANKRD34C-AS1	ANKRD34C antisense RNA 1	Approved	RNA, long non-coding			15q25.1	729911	ENSG00000259234	OTTHUMG00000172071	1987	Antisense RNAs
HGNC:41090	ANKRD44-AS1	ANKRD44 antisense RNA 1	Approved	RNA, long non-coding			2q33.1	101927596	ENSG00000231621	OTTHUMG00000154428	1987	Antisense RNAs
HGNC:55844	ANKRD65-AS1	ANKRD65 antisense RNA 1	Approved	RNA, long non-coding			1p36.33	105378585	ENSG00000225905		1987	Antisense RNAs
HGNC:40016	ANO1-AS1	ANO1 antisense RNA 1	Approved	RNA, long non-coding			11q13.3	100873981	ENSG00000254902	OTTHUMG00000167205	1987	Antisense RNAs
HGNC:54190	ANO3-AS1	ANO3 antisense RNA 1	Approved	RNA, long non-coding			11p14.2	105376599	ENSG00000254819		1987	Antisense RNAs
HGNC:27208	ANXA2R-AS1	ANXA2R antisense RNA 1	Approved	RNA, long non-coding			5p12	153684	ENSG00000215068	OTTHUMG00000131146	1987	Antisense RNAs
HGNC:55442	AP1G2-AS1	AP1G2 antisense RNA 1	Approved	RNA, long non-coding			14q11.2	102724814	ENSG00000258727		1987	Antisense RNAs
HGNC:44114	AP4B1-AS1	AP4B1 antisense RNA 1	Approved	RNA, long non-coding			1p13.2	100287722	ENSG00000226167	OTTHUMG00000011941	1987	Antisense RNAs
HGNC:40079	APOA1-AS	APOA1 antisense RNA	Approved	RNA, long non-coding			11q23.3	104326055	ENSG00000235910	OTTHUMG00000150649	1987	Antisense RNAs
HGNC:43836	APOBEC3B-AS1	APOBEC3B antisense RNA 1	Approved	RNA, long non-coding			22q13.1	100874530	ENSG00000249310	OTTHUMG00000151083	1987	Antisense RNAs
HGNC:26399	AQP4-AS1	AQP4 antisense RNA 1	Approved	RNA, long non-coding	C18orf16, CHST9-AS1	FLJ30507	18q11.2	147429	ENSG00000260372	OTTHUMG00000131954	1987	Antisense RNAs
HGNC:55474	AQP5-AS1	AQP5 and AQP2 antisense RNA 2	Approved	RNA, long non-coding		AC025154.2, MIAC	12q13.12	101927318	ENSG00000257588		1987	Antisense RNAs
HGNC:39993	ARAP1-AS1	ARAP1 antisense RNA 1	Approved	RNA, long non-coding			11q13.4	100874075	ENSG00000256007	OTTHUMG00000167950	1987	Antisense RNAs
HGNC:39994	ARAP1-AS2	ARAP1 antisense RNA 2	Approved	RNA, long non-coding			11q13.4	100506020	ENSG00000245148	OTTHUMG00000167951	1987	Antisense RNAs
HGNC:51593	ARF4-AS1	ARF4 antisense RNA 1	Approved	RNA, long non-coding			3p14.3	106144532	ENSG00000272146	OTTHUMG00000185640	1987	Antisense RNAs
HGNC:40949	ARHGAP15-AS1	ARHGAP15 antisense RNA 1	Approved	RNA, long non-coding			2q22.3	105373654	ENSG00000231758	OTTHUMG00000153724	1987	Antisense RNAs
HGNC:40792	ARHGAP26-AS1	ARHGAP26 antisense RNA 1	Approved	RNA, long non-coding			5q31.3	100874239	ENSG00000226272	OTTHUMG00000059702	1987	Antisense RNAs
HGNC:55320	ARHGAP28-AS1	ARHGAP28 antisense RNA 1	Approved	RNA, long non-coding			18p11.31	101927168	ENSG00000266441		1987	Antisense RNAs
HGNC:54311	ARHGAP29-AS1	ARHGAP29 antisense RNA 1	Approved	RNA, long non-coding			1p22.1-p21.3	107985092	ENSG00000226835		1987	Antisense RNAs
HGNC:41235	ARHGAP31-AS1	ARHGAP31 antisense RNA 1	Approved	RNA, long non-coding			3q13.33	100874246	ENSG00000241155	OTTHUMG00000159360	1987	Antisense RNAs
HGNC:54801	ARHGAP42-AS1	ARHGAP42 antisense RNA 1	Approved	RNA, long non-coding		AK124326	11q22.1	100128386	ENSG00000248027		1987	Antisense RNAs
HGNC:55326	ARHGAP44-AS1	ARHGAP44 and MYOCD antisense RNA 1	Approved	RNA, long non-coding			17p12	100128006	ENSG00000265489		1987	Antisense RNAs
HGNC:20279	ARHGAP5-AS1	ARHGAP5 antisense RNA 1 (head to head)	Approved	RNA, long non-coding	C14orf128	MGC15504	14q12	84837	ENSG00000258655	OTTHUMG00000170588	1987	Antisense RNAs
HGNC:55485	ARHGEF17-AS1	ARHGEF17 antisense RNA 1	Approved	RNA, long non-coding			11q13.4	100287837	ENSG00000257038		1987	Antisense RNAs
HGNC:55284	ARHGEF18-AS1	ARHGEF18 antisense RNA 1	Approved	RNA, long non-coding			19p13.2	118827816	ENSG00000267852		1987	Antisense RNAs
HGNC:39996	ARHGEF19-AS1	ARHGEF19 antisense RNA 1	Approved	RNA, long non-coding			1p36.13	100874233	ENSG00000234166	OTTHUMG00000002220	1987	Antisense RNAs
HGNC:40082	ARHGEF2-AS1	ARHGEF2 antisense RNA 1	Approved	RNA, long non-coding			1q22	107985210	ENSG00000224276	OTTHUMG00000017459	1987	Antisense RNAs
HGNC:55175	ARHGEF2-AS2	ARHGEF2 antisense RNA 2	Approved	RNA, long non-coding			1q22	107985209	ENSG00000273002		1987	Antisense RNAs
HGNC:41048	ARHGEF26-AS1	ARHGEF26 antisense RNA 1	Approved	RNA, long non-coding			3q25.2	100507524	ENSG00000243069	OTTHUMG00000159647	1987	Antisense RNAs
HGNC:40083	ARHGEF3-AS1	ARHGEF3 antisense RNA 1	Approved	RNA, long non-coding			3p14.3	100874200	ENSG00000240198	OTTHUMG00000158863	1987	Antisense RNAs
HGNC:41292	ARHGEF35-AS1	ARHGEF35 antisense RNA 1	Approved	RNA, long non-coding			7q35	101928605	ENSG00000244198	OTTHUMG00000158007	1987	Antisense RNAs
HGNC:55716	ARHGEF4-AS1	ARHGEF4 antisense RNA 1	Approved	RNA, long non-coding			2q21.1	121853076	ENSG00000233221		1987	Antisense RNAs
HGNC:39816	ARHGEF7-AS1	ARHGEF7 antisense RNA 1	Approved	RNA, long non-coding			13q34	100874226	ENSG00000227352	OTTHUMG00000017355	1987	Antisense RNAs
HGNC:40717	ARHGEF7-AS2	ARHGEF7 antisense RNA 2	Approved	RNA, long non-coding			13q34	100874238	ENSG00000235875	OTTHUMG00000017353	1987	Antisense RNAs
HGNC:41008	ARMC2-AS1	ARMC2 antisense RNA 1	Approved	RNA, long non-coding			6q21	101929716	ENSG00000230290	OTTHUMG00000015334	1987	Antisense RNAs
HGNC:41038	ARMCX3-AS1	ARMCX3 antisense RNA 1	Approved	RNA, long non-coding			Xq22.1	100128574	ENSG00000228275	OTTHUMG00000022037	1987	Antisense RNAs
HGNC:49892	BMAL2-AS1	BMAL2 antisense RNA 1	Approved	RNA, long non-coding	ARNTL2-AS1		12p11.23	101928646	ENSG00000245311	OTTHUMG00000169258	1987	Antisense RNAs
HGNC:40785	ARPP21-AS1	ARPP21 antisense RNA 1	Approved	RNA, long non-coding			3p22.3	100874098	ENSG00000230830	OTTHUMG00000156606	1987	Antisense RNAs
HGNC:23395	ARRDC1-AS1	ARRDC1 antisense RNA 1	Approved	RNA, long non-coding	C9orf37		9q34.3	85026	ENSG00000203993	OTTHUMG00000020988	1987	Antisense RNAs
HGNC:44145	ARRDC3-AS1	ARRDC3 antisense RNA 1	Approved	RNA, long non-coding			5q14.3	100129716	ENSG00000281357	OTTHUMG00000189546	1987	Antisense RNAs
HGNC:40085	ARSD-AS1	ARSD antisense RNA 1	Approved	RNA, long non-coding			Xp22.33	100506356	ENSG00000229851	OTTHUMG00000021076	1987	Antisense RNAs
HGNC:55603	ASAH1-AS1	ASAH1 antisense RNA 1	Approved	RNA, long non-coding			8p22	101929066	ENSG00000245281		1987	Antisense RNAs
HGNC:40904	ASB15-AS1	ASB15 antisense RNA 1	Approved	RNA, long non-coding			7q31.32	102724555	ENSG00000230442	OTTHUMG00000157115	1987	Antisense RNAs
HGNC:25442	ASB16-AS1	ASB16 antisense RNA 1	Approved	RNA, long non-coding	C17orf65	DKFZp762C2414	17q21.31	339201	ENSG00000267080	OTTHUMG00000181810	1987	Antisense RNAs
HGNC:44146	ASH1L-AS1	ASH1L antisense RNA 1	Approved	RNA, long non-coding		APPLE	1q22	645676	ENSG00000235919	OTTHUMG00000014012	1987	Antisense RNAs
HGNC:40960	ASIC4-AS1	ASIC4 antisense RNA 1	Approved	RNA, long non-coding			2q35	105373885	ENSG00000227432	OTTHUMG00000133672	1987	Antisense RNAs
HGNC:25811	ASMTL-AS1	ASMTL antisense RNA 1	Approved	RNA, long non-coding	CXYorf2, NCRNA00105, ASMTLAS, ASMTL-AS	FLJ13330	Xp22.33 and Yp11.32	80161	ENSG00000236017	OTTHUMG00000021056	1987	Antisense RNAs
HGNC:51175	ASTN2-AS1	ASTN2 antisense RNA 1	Approved	RNA, long non-coding			9q33.1	100128505	ENSG00000229105	OTTHUMG00000020556	1987	Antisense RNAs
HGNC:49496	ATE1OSP	ATE1 opposite strand, pseudogene	Approved	pseudogene	ATE1-AS1	ENST00000437593	10q26.13	100130887	ENSG00000226864	OTTHUMG00000019179	1987	Antisense RNAs
HGNC:40914	ATG10-AS1	ATG10 antisense RNA 1	Approved	RNA, long non-coding			5q14.1	100874022	ENSG00000248192	OTTHUMG00000162770	1987	Antisense RNAs
HGNC:55528	ATOX1-AS1	ATOX1 antisense RNA 1	Approved	RNA, long non-coding			5q33.1	105378235	ENSG00000253921		1987	Antisense RNAs
HGNC:40645	ATP11A-AS1	ATP11A antisense RNA 1	Approved	RNA, long non-coding			13q34	100874205	ENSG00000232684	OTTHUMG00000017370	1987	Antisense RNAs
HGNC:41095	ATP13A4-AS1	ATP13A4 antisense RNA 1	Approved	RNA, long non-coding			3q29	101929198	ENSG00000225473	OTTHUMG00000156102	1987	Antisense RNAs
HGNC:41281	ATP13A5-AS1	ATP13A5 antisense RNA 1	Approved	RNA, long non-coding			3q29	100874218	ENSG00000236508	OTTHUMG00000156106	1987	Antisense RNAs
HGNC:28262	ATP1A1-AS1	ATP1A1 antisense RNA 1	Approved	RNA, long non-coding	C1orf203, ATP1A1OS	MGC16179	1p13.1	84852	ENSG00000203865	OTTHUMG00000012111	1987	Antisense RNAs
HGNC:40088	ATP1B3-AS1	ATP1B3 antisense RNA 1	Approved	RNA, long non-coding			3q23	100874077	ENSG00000244124	OTTHUMG00000159102	1987	Antisense RNAs
HGNC:51370	ATP2A1-AS1	ATP2A1 antisense RNA 1	Approved	RNA, long non-coding			16p11.2	100289092	ENSG00000260442	OTTHUMG00000176592	1987	Antisense RNAs
HGNC:27883	ATP2B1-AS1	ATP2B1 antisense RNA 1	Approved	RNA, long non-coding	LINC00936		12q21.33	338758	ENSG00000271614	OTTHUMG00000169947	1987	Antisense RNAs
HGNC:53167	ATP2C2-AS1	ATP2C2 antisense RNA 1	Approved	RNA, long non-coding		RP11-517C16.2-001, RP11-517C16.2	16q24.1	105371374	ENSG00000261286	OTTHUMG00000176738	1987	Antisense RNAs
HGNC:44180	ATP6V0E2-AS1	ATP6V0E2 antisense RNA 1	Approved	RNA, long non-coding			7q36.1	401431	ENSG00000204934	OTTHUMG00000158095	1987	Antisense RNAs
HGNC:51118	ATP6V1B1-AS1	ATP6V1B1 antisense RNA 1	Approved	RNA, long non-coding			2p13.3	101927750	ENSG00000239322	OTTHUMG00000153727	1987	Antisense RNAs
HGNC:56042	ATP8B1-AS1	ATP8B1 antisense RNA 1	Approved	RNA, long non-coding		RP11-35G9.3	18q21.31	100505549	ENSG00000267040		1987	Antisense RNAs
HGNC:40515	ATXN1-AS1	ATXN1 antisense RNA 1	Approved	RNA, long non-coding		AL137003.1	6p22.3	101928433	ENSG00000229931	OTTHUMG00000153136	1987	Antisense RNAs
HGNC:51838	ATXN2-AS	ATXN2 antisense RNA	Approved	RNA, long non-coding			12q24.12	102723619	ENSG00000258099	OTTHUMG00000169599	1987	Antisense RNAs
HGNC:55298	ATXN7L3-AS1	ATXN7L3 antisense RNA 1	Approved	RNA, long non-coding			17q21.31	101926967	ENSG00000267394		1987	Antisense RNAs
